#{"source_key": "WB", "source_url": "http://data.worldbank.org/indicator/NY.GNP.PCAP.PP.CD", "source_date": "2017-03-23", "extract_date": "2017-04-04", "update_frequency": "Every year"}
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Ghana","GHA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220","1290","1330","1390","1420","1480","1530","1590","1640","1700","1750","1830","1890","1980","2090","2250","2420","2530","2740","2830","2970","3320","3540","3860","3920","4080","",
"Gibraltar","GIB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","690","690","700","720","730","750","770","790","810","850","880","910","970","920","950","970","970","1020","1030","1020","1040","1080","1130","1140","1140","1120","",
"Gambia, The","GMB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","980","1010","1030","1030","1030","1050","1080","1090","1140","1190","1240","1170","1250","1330","1310","1310","1350","1440","1540","1610","1510","1570","1610","1580","","",
"Guinea-Bissau","GNB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","930","960","980","1000","1030","1070","1190","1280","900","900","980","1000","1000","1010","1040","1100","1150","1190","1220","1240","1300","1420","1380","1380","1400","1450","",
"Equatorial Guinea","GNQ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","780","790","1070","1150","1110","1170","1860","4970","5380","7090","6400","6430","8530","7850","9730","17160","28630","33370","36050","31880","25320","29440","32300","30820","29860","27200","",
"Greece","GRC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13580","14350","14720","14690","15230","15810","16380","17300","18100","18260","19640","21170","22610","23800","25160","25620","28010","28530","29940","29720","27630","25430","25450","26040","26390","26530","",
"Grenada","GRD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4580","4960","5060","4920","5110","5220","5480","5790","6140","6850","7150","7040","7310","8160","8100","10160","10010","10730","11040","10020","10390","10760","10770","11300","12230","13090","",
"Greenland","GRL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3270","3450","3610","3750","3880","4060","4140","4290","4470","4590","4740","4880","4980","5080","5230","5450","5750","6130","6310","6220","6340","6560","6800","7040","7290","7530","",
"Guam","GUM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1310","1480","1750","2140","2490","2720","3010","3150","3130","3310","3360","3470","3590","3660","3590","3980","4430","4900","5150","5340","5700","6060","6520","6960","7180","7540","",
"High income","HIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18048.663691001","18823.2673907258","19569.8680726197","20151.9696564393","21153.8381082961","22058.1320103919","23087.7403231591","24193.0728997355","25071.0610961287","26107.7619660536","27821.9456309663","28779.1918029843","29620.7203207056","30568.5454109221","32333.2836452725","33959.8633572331","36316.9744805819","37905.6584056374","38694.4025331618","37767.4930304005","39306.2175935351","40967.6462231651","42254.0834737012","43667.7183293136","44981.4098790906","46131.502274992","",
"Hong Kong SAR, China","HKG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16950","18260","19650","21790","23020","23720","23630","25220","24130","25210","27180","28160","28470","30560","33720","36630","40880","44670","47440","45250","48130","51450","52020","54480","56680","57860","",
"Honduras","HND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1960","2050","2260","2230","2280","2350","2500","2560","2520","2670","2740","2820","2930","3110","3360","3620","3940","4130","4030","4050","4200","4310","4430","4600","4750","",
"Heavily indebted poor countries (HIPC)","HPC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","894.193539728281","895.234413673379","886.704578234348","898.241301174975","900.359340575","931.066644263752","987.083590264569","1025.99258898493","1049.29323527419","1067.60100452224","1088.21647446228","1121.79532845479","1147.81361045619","1186.43083842658","1249.24360654987","1338.39269815141","1428.8831928179","1523.30679023795","1605.09402993607","1651.60353716787","1711.6516449608","1792.50963212614","1867.55614716557","1880.82525393927","2035.69428014904","2110.29562174069","",
"Croatia","HRV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7850","8770","9370","9770","9550","10550","11120","12090","12700","13870","14550","16540","18390","19690","18840","18670","20140","20500","21240","21560","22380","",
"Haiti","HTI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280","1310","1330","1360","1380","1370","1360","1370","1340","1380","1440","1510","1530","1560","1480","1570","1630","1690","1740","1760","",
"Hungary","HUN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8280","8680","8860","9000","9310","9840","10270","11270","12580","13780","14720","15340","16090","17290","17670","19300","19610","20440","21600","21990","23640","24220","25240","",
"IBRD only","IBD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2778.75872042586","2864.82027334219","2950.91039982804","3131.8184182432","3258.93965347128","3406.58433339117","3610.61782265471","3810.50249434205","3875.02520288216","4030.96357201507","4316.41385942555","4532.47066566632","4751.26458960114","5103.95937631958","5602.12495144116","6159.62986357868","6906.81183313043","7690.97484187404","8326.08731501562","8572.65258539907","9283.69450383903","10013.018923731","10595.4461153606","11093.9526781581","11784.2666718431","12256.6571444749","",
"IDA & IBRD total","IBT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2439.80499209742","2510.41151019968","2580.19922599272","2721.8515549211","2824.83102122479","2949.07240959865","3117.8545082916","3278.45847208716","3330.97922069282","3456.75099014491","3686.55172829525","3863.2031957678","4037.78621716985","4323.57379001558","4740.75923201574","5191.21492331487","5797.58715259286","6415.7267552764","6912.64110642534","7105.99134704584","7661.52063765814","8224.05357059714","8678.52750979346","9062.57341089624","9607.12328563063","9963.81694556198","",
"IDA total","IDA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1231.1574284382","1259.5812005528","1286.02518745011","1303.81314515716","1339.36354555732","1401.22623841254","1468.22376634832","1514.51305423975","1546.5311906145","1592.38679624893","1658.45903721689","1732.41647498557","1791.18408526436","1893.3172498593","2090.68408149638","2244.32213379394","2459.90270776101","2619.54897661819","2752.67835746288","2842.10578067302","3000.60452426568","3142.87872064744","3297.30792779306","3426.67940198292","3639.58966672593","3754.61391845812","",
"IDA blend","IDB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1697.68086553527","1753.62418200295","1815.38072192879","1832.14849117317","1901.13950748914","1999.0651824106","2096.37018857894","2154.9948786124","2189.81602452028","2256.66148251896","2357.6360356004","2465.21277232702","2558.5656790864","2735.32362626504","3115.04020681362","3329.90930933496","3694.99999762768","3901.54429072226","4080.3105465169","4195.81186240782","4454.37214906022","4681.85011270423","4918.7576242229","5146.04387901539","5457.07066004516","5652.82510912242","",
"Indonesia","IDN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2980","3050","3290","3590","3920","4260","4610","4830","4070","4020","4190","4300","4440","5110","5400","5790","6260","6750","7240","7540","8070","8610","9180","9710","10210","10700","",
"IDA only","IDX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","945.083768486393","957.12981050535","962.371944921758","983.698127842831","999.554485395248","1041.06018442477","1091.83196305024","1133.27152788112","1166.29198106525","1201.02775825684","1248.50314715348","1305.31369739037","1346.3172963798","1406.77963737221","1497.68567249883","1620.03427289372","1751.23767275137","1888.7712207289","1999.87716141902","2077.87267350647","2181.0857957857","2276.6105533626","2386.66894365654","2462.10259127639","2622.67617291649","2694.48191314555","",
"Isle of Man","IMN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1130","1160","1220","1290","1380","1480","1600","1660","1750","1900","1980","2090","2170","2340","2560","2840","3150","3470","3620","3900","4270","4590","4860","5200","5610","6030","",
"Not classified","INX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12760","13410","13900","14610","15790","17290","18810","20430","22450","23540","26280","27840","29520","31290","33400","35070","38960","40580","38500","34890","36460","37650","38330","41100","43540","54610","",
"Iran, Islamic Rep.","IRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6600","7520","7830","7830","7670","8060","8380","8580","8770","8790","9430","9740","10580","11570","12220","12990","14020","15570","15850","16100","17170","17950","16900","16620","17430","","",
"Iraq","IRQ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7330","2650","3510","4600","4730","4780","5240","6180","8160","9410","9590","9740","8860","6000","9250","9840","10880","11080","12340","12200","12560","13190","14890","15490","15190","15340","",
"Iceland","ISL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21360","21930","21490","22020","22950","23390","24390","26300","27880","28750","28560","30610","32030","31800","33820","35710","36440","38970","33860","33390","32200","34440","36480","41480","43930","47160","",
"Israel","ISR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13080","13570","14330","14890","15890","17720","19140","19690","20130","20370","22710","23550","24020","22630","24400","24310","25280","27150","26650","26690","28220","30110","30880","33570","34550","36040","",
"Italy","ITA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18320","19170","19720","20040","20870","22000","22750","23690","24780","25480","26900","27900","28500","28930","29410","30080","32460","33990","35060","34510","34980","36230","36160","36070","36070","37030","",
"Jamaica","JAM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4330","4620","4870","5680","5770","6010","6200","6190","5960","6040","6180","6290","6380","6730","6980","7210","7680","7960","8100","7660","7750","8060","8330","8390","8540","8680","",
"Jordan","JOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4080","3940","4610","4720","4850","5100","5140","5360","5560","5740","6210","6610","6910","7220","7940","8620","9290","10000","10400","10490","10150","10230","10300","10460","10660","10760","",
"Japan","JPN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19350","20600","21230","21730","22560","23620","24830","25460","25370","25630","27180","27900","28560","29320","30950","32350","33920","35570","35710","33910","35900","36790","38210","40330","40880","42310","",
"Kazakhstan","KAZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6980","6300","6000","6210","6500","6560","6770","7350","8660","9760","10720","11860","12920","14220","15590","15830","16370","17110","18220","19370","21250","22310","23480","",
"Kenya","KEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1470","1490","1460","1430","1470","1550","1630","1630","1670","1680","1690","1750","1750","1780","1880","2020","2150","2300","2290","2330","2480","2620","2710","2830","2950","3070","",
"Kyrgyz Republic","KGZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2250","2100","1830","1580","1280","1210","1300","1410","1420","1450","1550","1690","1700","1840","1980","2030","2180","2420","2570","2640","2560","2610","2850","3100","3250","3310","",
"Cambodia","KHM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","790","810","860","890","970","1050","1140","1200","1310","1460","1670","1880","2110","2250","2230","2350","2520","2700","2890","3090","3300","",
"Kiribati","KIR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1540","2060","2120","2070","2110","2240","1960","2370","2660","2410","2590","2730","2620","2520","2510","2530","2570","2490","2520","2400","2470","2340","2600","2980","3590","4230","",
"St. Kitts and Nevis","KNA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9060","9010","9400","10170","10810","11650","12260","13090","12800","13220","14030","14790","14990","14420","15550","17520","19140","19470","20840","20100","19760","20450","20590","22280","23460","24370","",
"Korea, Rep.","KOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8420","9520","10200","11010","12060","13320","14510","15400","14500","16250","17950","19060","20700","21310","22920","24030","25770","27790","28720","28330","30500","31510","32550","33050","33960","34810","",
"Kuwait","KWT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68550","69290","72700","73890","67000","69370","67100","65190","74820","83700","91140","97360","99740","94680","84460","77500","80860","84220","82610","82020","84360","",
"Latin America & Caribbean (excluding high income)","LAC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5670.71320363813","5977.75585973253","6175.96176818024","6750.78703023841","7060.14728731265","7070.76212813874","7338.52681159123","7717.525832437","7798.88398690766","7819.974437105","8203.47171865282","8313.92838515183","8312.32582104819","8510.53510862937","9174.0998012749","9862.19496241119","10665.2735108895","11554.2280738917","12149.80796687","11949.0592328999","12798.4826446419","13566.2998188655","13925.7686733522","14277.8123520237","14738.6104891399","14631.9243048335","",
"Lao PDR","LAO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050","1090","1150","1210","1300","1390","1480","1540","1580","1720","1780","1900","2020","2110","2310","2560","2730","3030","3230","3500","3650","3920","4270","4670","5070","5400","",
"Lebanon","LBN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6190","7720","7750","8170","8800","9460","9880","9670","9940","9940","10120","10120","9720","8450","10220","10830","11340","12910","14070","15040","15740","15620","15150","14440","14000","13750","",
"Liberia","LBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410","400","540","470","480","310","330","380","430","490","530","580","590","670","670","710","710","720","",
"Libya","LBY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17260","19720","20250","23010","25380","27080","27750","27380","28570","11040","","","","","",
"St. Lucia","LCA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4770","4960","5430","5590","5770","5970","6370","6450","6800","7010","7420","7220","7370","7690","8330","8440","9550","9550","9980","10110","10000","10300","10140","10320","10480","10780","",
"Latin America & Caribbean","LCN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5702.129855195","6015.37572489992","6231.94532432336","6802.79532410694","7117.93568044907","7160.38917551158","7446.90989168396","7837.4616699953","7935.7232462582","7960.66850746056","8362.0271265151","8490.11359790716","8495.46827117967","8705.0810519543","9373.39465476447","10073.6596009673","10915.9382394052","11816.2618658514","12400.4111212377","12199.2134404784","13071.6721064869","13871.091510861","14265.2359894345","14652.1340676231","15120.4266915285","15042.3670830344","",
"Least developed countries: UN classification","LDC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","805.910524698459","835.082153273796","827.468736913276","842.245966823927","851.114624471177","902.939614176754","953.27211433804","998.198875001167","1026.3378468081","1057.90573937828","1110.2101812596","1165.1916183418","1205.97153527612","1264.83445320449","1350.13151608733","1473.37244881804","1618.89546844379","1773.65901993703","1892.72325922311","1977.22193104389","2063.08996129171","2150.92863376332","2246.88589075831","2304.83130500584","2454.49165080387","2503.28750540732","",
"Low income","LIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705.825899631279","714.763434764616","689.330940925903","695.889915102928","698.181686278096","721.784171214299","768.795858062902","787.041569259202","797.949695789472","816.082306803333","834.209433394238","864.847802605366","873.559694444912","895.011185568115","944.265024435699","1006.86418010345","1066.93702520267","1138.6275771291","1186.46408544934","1238.88816008337","1295.55730002512","1359.78912359375","1421.12783825148","1480.98565319596","1555.51154944676","1602.12942326777","",
"Liechtenstein","LIE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2350","2510","2660","2880","3060","3240","3400","3660","3840","4030","4340","4340","4560","4920","5290","5740","6310","6890","7290","7640","8300","9120","9980","10350","10960","11500","",
"Lower middle income","LMC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1751.85821686519","1777.71680524908","1835.31460453704","1884.47648682581","1964.81237882011","2073.22388225851","2197.38261568852","2283.17129953963","2284.65666440277","2385.90785052219","2495.92493859527","2618.66022632768","2713.37321595028","2940.9655171984","3204.85974628598","3482.10450588443","3822.47195829001","4145.63603381715","4365.26469167701","4558.76116046775","4889.51025569504","5155.2406702794","5439.80382548392","5736.89301360677","6095.8890673989","6408.66470776376","",
"Low & middle income","LMY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2406.36353535902","2471.59901608982","2535.56662770391","2670.64414364337","2767.45016570237","2885.76495774284","3049.17694694806","3203.3443246886","3251.03616302055","3376.17228377714","3600.58474400741","3774.47898815984","3945.18673463145","4229.89236258137","4643.47316211554","5091.69568281099","5689.26846402863","6298.2405354169","6786.54325683977","6979.22079712518","7522.19813651756","8072.58723602563","8522.88921914345","8900.90927560066","9444.59532429959","9797.29636828972","",
"Lesotho","LSO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1420","1480","1510","1500","1560","1580","1670","1730","1700","1750","1800","2150","2200","2320","2310","2300","2360","2480","2630","2680","2760","3090","3190","3480","3390","3290","",
"Late-demographic dividend","LTE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2772.82257886449","2891.2732651955","2954.27008652637","3138.61463684494","3315.68361319096","3525.48841481079","3744.27225834748","3962.99816218453","4046.63040170935","4245.94880635064","4629.64516067933","4952.07946819511","5306.05614717199","5772.08813953533","6382.95001423541","7065.34179720804","8061.37016882654","9105.30136253323","10030.1352507017","10386.9470678088","11322.5596473083","12418.2731625718","13319.5167460561","14011.9077100792","15026.9992028667","15687.057188955","",
"Lithuania","LTU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12790","14330","16180","18370","20040","18500","19750","22010","23900","25990","27730","27570","",
"Luxembourg","LUX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27200","30350","31030","32050","32290","34000","35200","37420","37810","41950","44460","45440","46630","46050","52100","56540","53310","62610","63980","54490","62780","62660","62950","62780","66420","72080","",
"Latvia","LVA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5540","5830","6530","7110","7330","8000","9080","10080","10960","11960","13690","15340","17550","19150","18070","17800","19710","21040","22630","23820","24840","",
"Macao SAR, China","MAC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24260","25360","28440","29840","31190","31910","31480","31480","29910","28770","30010","34410","37480","41400","51150","55260","60450","76680","70580","71300","86160","101400","108850","119420","121040","102480","",
"St. Martin (French part)","MAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2450","2660","2620","2610","2910","2760","3130","3090","3330","3380","3470","3780","3920","4210","4500","4780","5230","5510","5900","6050","6280","6630","6840","7190","7340","7690","",
"Monaco","MCO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1870","1880","1940","1830","1790","1870","2130","2340","2680","2990","3300","3570","3700","4090","3730","4150","4520","4700","5210","5540","5400","",
"Madagascar","MDG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030","940","970","990","970","970","990","1030","1050","1090","1130","1190","1020","1110","1160","1220","1290","1370","1460","1370","1350","1350","1360","1370","1410","1410","",
"Maldives","MDV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5410","5710","6560","7470","6890","8210","7650","8740","8530","8920","9710","10140","10310","11030","11480","",
"Middle East & North Africa","MEA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7423.06960462348","7552.30728316372","7950.81231438149","8143.77360979931","8230.69284950957","8478.34040928731","8832.62584639894","9168.73016103793","9614.77039170332","9792.82506076706","10301.9583306883","10594.8740305032","10752.4466756029","11172.0406374086","12227.1941213564","13068.8275801052","14123.9716457715","15146.6385408799","15825.8690644272","15838.6036193884","16391.908444022","16905.1171129295","17401.0466574287","17801.0208332948","18317.7694071084","18846.5171905185","",
"Mexico","MEX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5820","6180","6430","8250","8640","7670","8060","8690","9020","9500","10090","10100","10170","10400","11050","11850","12860","13760","14360","14050","14740","15790","16260","16290","17070","16860","",
"Marshall Islands","MHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3230","2810","2710","2740","2790","3020","3250","3310","3350","3440","3700","3840","4070","4040","3970","4090","4270","4280","4550","4780","5430","",
"Middle income","MIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2546.49768671393","2617.81953111793","2690.46439271273","2838.0450218672","2944.8253206143","3073.57918872723","3249.71391387792","3418.21493462385","3471.92563327242","3609.59747270627","3855.90769832789","4046.88390226643","4236.7940134234","4551.04617824445","5004.9622768654","5496.88199870619","6154.45291293327","6825.31261914718","7367.28403884084","7583.98723228839","8188.41042233308","8802.16510644684","9307.10676645413","9733.43190404006","10343.8164917246","10746.0862247054","",
"Macedonia, FYR","MKD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5190","5080","4760","4580","4660","4730","4850","4960","5160","5380","6080","6060","6300","6480","7110","7690","8620","8870","10350","10900","11180","11440","11610","12390","13220","13730","",
"Mali","MLI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","820","930","890","920","940","930","990","1030","1090","1140","1140","1260","1260","1400","1410","1510","1570","1630","1690","1720","1750","1800","1750","1780","1900","1970","",
"Malta","MLT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10040","10600","11080","11630","12200","13050","13710","15160","15580","17130","19000","19840","20670","20820","21370","21520","22400","24100","25530","24380","26400","27540","28160","29520","31400","33170","",
"Myanmar","MMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460","470","520","560","610","650","700","740","780","870","1000","1130","1270","1460","1690","1960","2270","2590","2900","3210","3530","3780","3980","4340","4680","4930","",
