Country,Refugees,People in refugee-like situations,Total refugees and people in refugee-like situations,of whom: UNHCR-assisted,Asylum-seekers (pending cases),Returned refugees,"IDPs protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Persons under UNHCR's statelessness mandate,Others of concern to UNHCR,Total population of concern
Mozambique,50,0,50,5,5712,5755,15128,0,0,0,26645
Myanmar,195086,295203,490289,239712,55976,74,375016,1346,0,262,922963
Namibia,1366,0,1366,925,141,8,0,0,0,41,1556
Nauru,0,0,0,0,0,0,0,0,0,0,0
Nepal,8376,1,8377,26,11538,0,0,0,0,585,20500
Netherlands,37,0,37,0,49,0,0,0,0,0,86
New Zealand,28,0,28,0,18,0,0,0,0,1,47
Nicaragua,1419,0,1419,531,2126,0,0,0,0,0,3545
Niger,1235,0,1235,454,861,0,121391,0,0,14678,138165
Nigeria,202564,26747,229311,202174,66357,0,2219272,689906,0,14,3204860
Niue,19,0,19,0,0,0,0,0,0,0,19
Norfolk Island,1,0,1,0,0,0,0,0,0,0,1
Norway,10,0,10,0,18,0,0,0,0,0,28
Oman,38,0,38,6,25,0,0,0,0,0,63
Pakistan,105426,2,105428,63966,67748,7,448956,704370,0,0,1326509
Palau,2,0,2,0,2,0,0,0,0,0,4
Palestinian,97796,0,97796,16350,5984,0,0,0,0,2199,105979
Panama,40,0,40,2,84,0,0,0,0,0,124
Papua New Guinea,399,0,399,0,264,0,0,0,0,0,663
Paraguay,71,0,71,0,115,0,0,0,0,0,186
Peru,2609,0,2609,84,2301,0,0,0,0,0,4910
Philippines,424,10,434,26,3120,0,87418,255626,0,80053,426651
Poland,1159,0,1159,0,561,0,0,0,0,0,1720
Portugal,19,0,19,1,78,0,0,0,0,0,97
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0
Qatar,29,0,29,1,23,0,0,0,0,0,52
Rep. of Korea,250,0,250,0,276,0,0,0,0,0,526
Rep. of Moldova,2317,1,2318,21,4092,0,0,0,0,1,6411
Romania,1199,0,1199,1,2498,0,0,0,0,2,3699
Russian Federation,62759,0,62759,709,34993,56,0,0,0,2,97810
Rwanda,286073,0,286073,168351,11709,6105,0,0,0,6004,309891
Saint Kitts and Nevis,49,0,49,0,23,0,0,0,0,0,72
Saint Lucia,994,0,994,0,199,0,0,0,0,0,1193
Saint Vincent and the Grenadines,1333,0,1333,0,133,0,0,0,0,0,1466
Saint-Pierre-et-Miquelon,1,0,1,0,1,0,0,0,0,0,2
Samoa,1,0,1,0,11,0,0,0,0,0,12
San Marino,2,0,2,0,0,0,0,0,0,0,2
Sao Tome and Principe,29,0,29,26,12,0,0,0,0,0,41
Saudi Arabia,936,0,936,30,1000,0,0,0,0,9,1945
Senegal,23061,0,23061,15955,16319,0,0,0,0,0,39380
Serbia and Kosovo: S/RES/1244 (1999),36773,160,36933,1417,21701,166,219633,477,0,0,278910
Seychelles,14,0,14,0,8,0,0,0,0,0,22
Sierra Leone,4679,0,4679,856,4677,3,0,0,0,1479,10838
Singapore,41,0,41,1,55,0,0,0,0,0,96
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0
Slovakia,794,0,794,0,586,0,0,0,0,0,1380
Slovenia,21,0,21,0,16,0,0,0,0,0,37
Solomon Islands,69,0,69,0,80,0,0,0,0,0,149
Somalia,1012323,0,1012323,732029,60454,36133,1562554,0,0,291,2671755
South Africa,450,0,450,9,959,0,0,0,0,7,1416
South Sudan,1436651,68,1436719,1395434,5707,1,1853924,752261,0,0,4048612
Spain,35,0,35,0,133,0,0,0,0,0,168
Sri Lanka,117479,0,117479,1721,15198,1054,39730,12445,0,12,185918
Sudan,646036,4604,650640,610784,46888,37215,2225557,0,0,123,2960423
Suriname,18,0,18,0,29,0,0,0,0,1,48
Svalbard and Jan Mayen,0,0,0,0,0,0,0,0,0,0,0
Swaziland,229,0,229,1,145,7,0,0,0,2,383
Sweden,15,0,15,0,20,0,0,0,0,0,35
Switzerland,6,0,6,0,13,0,0,0,0,0,19
Syrian Arab Rep.,5500448,23929,5524377,4865723,184218,1,6325978,600000,0,8518,12643092
Tajikistan,925,0,925,59,3199,0,0,0,0,0,4124
Thailand,157,1,158,19,957,0,0,0,0,0,1115
The former Yugoslav Republic of Macedonia,1738,0,1738,5,6898,0,0,0,0,0,8636
Tibetan,13534,0,13534,13514,9,0,0,0,0,0,13543
Timor-Leste,21,1,22,2,4,0,0,0,0,0,26
Togo,8310,0,8310,3495,2657,5,0,0,0,0,10972
Tonga,27,0,27,0,78,0,0,0,0,0,105
Trinidad and Tobago,295,0,295,0,241,0,0,0,0,6,542
Tunisia,1700,0,1700,53,2050,0,0,0,0,7,3757
Turkey,57925,0,57925,15802,23228,0,0,0,0,45,81198
Turkmenistan,377,0,377,22,1073,0,0,0,0,0,1450
Turks and Caicos Islands,16,0,16,0,3,0,0,0,0,0,19
Tuvalu,2,0,2,0,1,0,0,0,0,0,3
Uganda,6233,0,6233,895,5323,0,0,0,0,180002,191558
Ukraine,238804,271,239075,4911,27862,8,1800000,0,0,5,2066950
United Arab Emirates,112,0,112,3,165,0,0,0,0,0,277
United Kingdom,81,0,81,0,109,0,0,0,0,0,190
United Rep. of Tanzania,594,0,594,28,1233,6,0,0,0,14,1847
United States of America,309,1,310,6,288,0,0,0,0,8,606
Uruguay,27,0,27,0,108,0,0,0,0,0,135
US Virgin Islands,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,3836,0,3836,254,3013,3,0,0,0,2,6854
Vanuatu,2,0,2,0,0,0,0,0,0,0,2
Venezuela (Bolivarian Republic of),7537,0,7537,381,45088,0,0,0,0,1,52626
Viet Nam,329350,1,329351,331,4550,0,0,0,0,68,333969
Wallis and Futuna Islands ,0,0,0,0,1,0,0,0,0,0,1
Western Sahara,90649,26000,116649,90072,1999,6,0,0,0,0,118654
Yemen,18452,0,18452,14773,15858,1,2025060,974058,0,9,3033438
Zambia,265,0,265,5,310,0,0,0,0,1,576
Zimbabwe,18156,0,18156,774,43202,6,0,0,0,162,61526
Stateless,48683,0,48683,1091,10728,0,0,0,3242207,0,3301618
Various/unknown,136942,1844,138786,2930,228434,0,0,0,0,40875,408095
